commit_URL,is_bugfix,obs
https://github.com/aztfmod/terraform-azurerm-caf/commit/2b0b54290872dcc333cb1c8880fe2e68829ea723,TRUE,according to commit description (fix for…)
https://github.com/hashicorp/terraform-aws-vault/commit/19b8629eccd242481db85a9d4a2848aa8fd68d6e,TRUE,according to commit message and description (fix count)
https://github.com/kubernetes/k8s.io/commit/c900bc3d4768a4e58e2f4923a52ba1a1e329543f,TRUE,according to commit description (fix authentication with…)
https://github.com/cloudposse/terraform-aws-components/commit/46d8afa6bde8527827910cd1f9ade0c26944a330,TRUE,according to linked pull request message (fix role_arns local variable)
https://github.com/hashicorp/terraform-provider-aws/commit/cab10a1884a04e8065ac2b0ceedc92da71cffcfd,MAYBE,resolving merge conflicts
https://github.com/aws-ia/terraform-aws-eks-blueprints/commit/093574f79a50413b961376d9ec0310bda6b514b9,TRUE,According to message description (Fix for namespace creation)
https://github.com/ministryofjustice/modernisation-platform/commit/d475c831d043665038c9f96a837bb215fd631e01,TRUE,According to commit message (and fix timeout)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/eddef7e5b6ba2baae5debb10dadb3faa87daeeb5,TRUE,According to linked pull request message (fixes 1431)
https://github.com/terraform-google-modules/terraform-google-kubernetes-engine/commit/1b7a845714cd86cbc3fbb7bf782b868330ca5fe9,TRUE,According to commit message (fix: correct gcfs_config value)
https://github.com/terraform-google-modules/terraform-google-kubernetes-engine/commit/e11a8225286f9b744f6110aaed0e4b1b3e058953,FALSE,"Its a branch merge. Its merging master into bugfix, so this commit itself is not a bugfix, but sync with master into bugfix"
https://github.com/ministryofjustice/modernisation-platform/commit/8c411f19d65db81b8f51810f0e0e12c7dc11830a,TRUE,According to commit description (… fixed go test and documentation)
https://github.com/ministryofjustice/modernisation-platform/commit/efc4983f0659a1d4aca41646dd514961637eb282,TRUE,According to linked pull request description (add missing ttl value)
https://github.com/aztfmod/terraform-azurerm-caf/commit/0422b58551341b569cf17703c686bba62da15f54,TRUE,According to commit message (fix remote objects for…)
https://github.com/Azure/terraform/commit/191572bc6b9cb2ba33912ff17ef18473d64f09e5,MAYBE,Commit message: resolve comments
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/81706207fc8bac5b8c4649e8468617127f2a83f1,TRUE,Commit description (… fix template expansion…)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/dc3778302286108e2e46ffbaf0a6b3287b3c9870,TRUE,Commit message (fix variables)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/950ad088e9052c6fb37fe367451c42b12701e3d3,TRUE,Commit message (fix trigger…)
https://github.com/Azure/terraform/commit/4223ffbb406e287ec4ec2f77620708f8d30de777,TRUE,Commit description (fix net test…)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/b6e0557bbbf7b024df7835aec00ed5fd1c4a7032,TRUE,Commit description (fix boilerplate)
