commit_URL,is_bugfix,obs
https://github.com/aztfmod/terraform-azurerm-caf/commit/2b0b54290872dcc333cb1c8880fe2e68829ea723,1,according to commit description (fix for…)
https://github.com/hashicorp/terraform-aws-vault/commit/19b8629eccd242481db85a9d4a2848aa8fd68d6e,1,according to commit message and description (fix count)
https://github.com/kubernetes/k8s.io/commit/c900bc3d4768a4e58e2f4923a52ba1a1e329543f,1,according to commit description (Fix authentication with HMAC for dl-sandbox)
https://github.com/cloudposse/terraform-aws-components/commit/46d8afa6bde8527827910cd1f9ade0c26944a330,1,"according to commit description (Fix role_arns local variable (#105)
This local variable was renamed in 99cf52e but this was missed and is
causing Terraform to fail.)"
https://github.com/hashicorp/terraform-provider-aws/commit/cab10a1884a04e8065ac2b0ceedc92da71cffcfd,0,resolving merge conflicts
https://github.com/aws-ia/terraform-aws-eks-blueprints/commit/093574f79a50413b961376d9ec0310bda6b514b9,1,"according to commit description (Fix for namespace creation and timer for Terratest (#465)
* helm create_namespace should always be false when irsa is enabled
* make false if create_namespace is not defined
* precommit format update.)"
https://github.com/ministryofjustice/modernisation-platform/commit/d475c831d043665038c9f96a837bb215fd631e01,1,according to commit description (fix timeout)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/eddef7e5b6ba2baae5debb10dadb3faa87daeeb5,1,made internal/external addresses optional in network_interfaces
https://github.com/terraform-google-modules/terraform-google-kubernetes-engine/commit/1b7a845714cd86cbc3fbb7bf782b868330ca5fe9,1,according to commit description (fix: correct gcfs_config value (#2095))
https://github.com/terraform-google-modules/terraform-google-kubernetes-engine/commit/e11a8225286f9b744f6110aaed0e4b1b3e058953,1,add ssh_auth_key parameter to override auto-generated keys
https://github.com/ministryofjustice/modernisation-platform/commit/8c411f19d65db81b8f51810f0e0e12c7dc11830a,1,"bugfix: core-security IP range correction (was 10.230.x.x, now 10.20.x.x)"
https://github.com/ministryofjustice/modernisation-platform/commit/efc4983f0659a1d4aca41646dd514961637eb282,1,route53: add missing ttl attribute
https://github.com/aztfmod/terraform-azurerm-caf/commit/0422b58551341b569cf17703c686bba62da15f54,1,according to commit description (fix remote objects for flexible server to prevent evaluation issues)
https://github.com/Azure/terraform/commit/191572bc6b9cb2ba33912ff17ef18473d64f09e5,0, ? Seems to be a refactoring
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/81706207fc8bac5b8c4649e8468617127f2a83f1,1,Simplify logic to retry application of kubernetes config if failed
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/dc3778302286108e2e46ffbaf0a6b3287b3c9870,1,according to commit description (Fix Variables)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/950ad088e9052c6fb37fe367451c42b12701e3d3,1,fix permanent diff: auto-set egress annotation; correct trigger service account logic
https://github.com/ministryofjustice/modernisation-platform/commit/e76e9744c4e837fc451dba859d413dabc19ecae7,1,according to commit description (Fixing permission name.)
https://github.com/Azure/caf-terraform-landingzones/commit/03349a491691ed86a76c8fd063c11f817a349d1b,1,"according to commit description (Fixup policy path, using azurerm 2.9 for foundations and new roverdev)"
https://github.com/terraform-google-modules/terraform-google-project-factory/commit/b84b2aa68cee773de0e7532a98324100183c5156,1,according to commit description (Fixes for issuue #47)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/616c6fbc4875b410c1030bd2188e34e306d98658,1,according to commit description (Fix subnet iam_bindings to use arbitrary keys)
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/a63d690aa0214d22005d7ed984de17251bbd2e08,0,Typo
